2024-02-21 20:51:55,652: Key.shift
2024-02-21 20:51:56,027: 'P'
2024-02-21 20:51:56,501: 's'
2024-02-21 20:51:57,179: Key.home
2024-02-21 20:51:57,424: 'a'
2024-02-21 20:51:57,630: 's'
2024-02-21 20:51:58,124: Key.home
2024-02-21 20:51:58,404: Key.home
2024-02-21 20:51:58,952: Key.right
2024-02-21 20:51:59,221: Key.right
2024-02-21 20:51:59,519: Key.right
2024-02-21 20:52:00,104: Key.right
2024-02-21 20:52:00,480: Key.backspace
2024-02-21 20:52:00,658: Key.backspace
2024-02-21 20:52:00,873: Key.backspace
2024-02-21 20:52:01,153: Key.backspace
2024-02-21 20:52:01,872: 'p'
2024-02-21 20:52:02,031: 'a'
2024-02-21 20:52:02,300: 's'
2024-02-21 20:52:02,476: 's'
2024-02-21 20:52:02,984: 'w'
2024-02-21 20:52:03,170: 'o'
2024-02-21 20:52:03,386: 'r'
2024-02-21 20:52:03,728: 'd'
2024-02-21 20:52:04,719: Key.backspace
2024-02-21 20:52:05,224: Key.backspace
2024-02-21 20:52:05,259: Key.backspace
2024-02-21 20:52:05,289: Key.backspace
2024-02-21 20:52:05,320: Key.backspace
2024-02-21 20:52:05,349: Key.backspace
2024-02-21 20:52:05,380: Key.backspace
2024-02-21 20:52:05,415: Key.backspace
2024-02-21 20:52:05,429: Key.backspace
2024-02-21 20:52:05,462: Key.backspace
2024-02-21 20:52:05,497: Key.backspace
2024-02-21 20:52:05,530: Key.backspace
2024-02-21 20:52:05,560: Key.backspace
2024-02-21 20:52:05,575: Key.backspace
2024-02-21 20:52:05,615: Key.backspace
2024-02-21 20:52:05,646: Key.backspace
2024-02-21 20:52:05,678: Key.backspace
2024-02-21 20:52:15,603: Key.ctrl_l
2024-02-21 20:52:15,775: '\x03'
2024-02-21 20:52:16,966: Key.ctrl_l
2024-02-21 20:52:17,169: '\x03'
2024-02-21 20:52:17,561: '\x03'
2024-02-21 20:52:17,843: '\x03'
2024-02-21 20:52:18,079: '\x03'
2024-02-21 20:52:18,313: '\x03'
